Index,-30,-20,-10,0,10,20,frequency (Hz)
89,-121.840515136719,-130.469329833984,-111.219367980957,-105.552444458008,-89.7261428833008,-87.0381698608398,557.1943749999999
90,-121.84700012207,-130.473815917969,-111.223915100098,-105.558738708496,-89.7291717529297,-87.0409851074219,563.44375
91,-121.853897094727,-130.47868347168,-111.228843688965,-105.565437316895,-89.7325973510742,-87.0441589355469,569.693125
92,-121.861175537109,-130.483947753906,-111.234146118164,-105.572509765625,-89.7363967895508,-87.0477142333984,575.9425
93,-121.868896484375,-130.489608764648,-111.239845275879,-105.579986572266,-89.7405853271484,-87.0516357421875,582.191875
94,-121.876998901367,-130.495666503906,-111.245933532715,-105.587852478027,-89.7451705932617,-87.0559463500977,588.44125
95,-121.885543823242,-130.502136230469,-111.252395629883,-105.59610748291,-89.750129699707,-87.0606307983398,594.690625
96,-121.894485473633,-130.508987426758,-111.259254455566,-105.604774475098,-89.7554931640625,-87.0656814575195,600.9399999999999
97,-121.901321411133,-130.513732910156,-111.263984680176,-105.611320495605,-89.7587280273437,-87.0686111450195,607.1893749999999
98,-121.908569335938,-130.518844604492,-111.269081115723,-105.618232727051,-89.762321472168,-87.0718841552734,613.4387499999999
99,-121.916213989258,-130.524353027344,-111.274551391602,-105.625541687012,-89.7662963867187,-87.0755157470703,619.688125
100,-121.924255371094,-130.530227661133,-111.280395507813,-105.633224487305,-89.7706527709961,-87.0795059204102,625.9375
101,-121.932693481445,-130.536499023438,-111.286605834961,-105.64128112793,-89.7753677368164,-87.083869934082,632.186875
102,-121.941528320313,-130.543151855469,-111.293197631836,-105.64973449707,-89.7804718017578,-87.0885925292969,638.43625
103,-121.950790405273,-130.550216674805,-111.300155639648,-105.658561706543,-89.7859573364258,-87.0936813354492,644.685625
104,-121.96044921875,-130.557662963867,-111.307502746582,-105.66780090332,-89.7918167114258,-87.0991363525391,650.935
105,-121.968246459961,-130.563201904297,-111.312934875488,-105.675109863281,-89.7957611083984,-87.102668762207,657.1843749999999
106,-121.976425170898,-130.569122314453,-111.318733215332,-105.682807922363,-89.8000946044922,-87.1065521240234,663.4337499999999
107,-121.985000610352,-130.575424194336,-111.324905395508,-105.690879821777,-89.8047714233398,-87.1107788085937,669.683125
108,-121.993988037109,-130.582092285156,-111.331436157227,-105.699317932129,-89.8098220825195,-87.1153564453125,675.9325
109,-122.003372192383,-130.589157104492,-111.338325500488,-105.708129882813,-89.8152389526367,-87.1203002929688,682.181875
110,-122.013153076172,-130.596588134766,-111.345581054688,-105.717323303223,-89.8210296630859,-87.1255874633789,688.43125
111,-122.023345947266,-130.604415893555,-111.353218078613,-105.726890563965,-89.8271865844727,-87.1312408447266,694.680625
112,-122.033935546875,-130.61262512207,-111.361213684082,-105.736839294434,-89.8337173461914,-87.1372375488281,700.93
113,-122.042861938477,-130.619125366211,-111.36750793457,-105.745079040527,-89.8385314941406,-87.1415176391602,707.1793749999999
114,-122.052169799805,-130.626007080078,-111.374145507813,-105.753692626953,-89.8437042236328,-87.146125793457,713.4287499999999
115,-122.061874389648,-130.633239746094,-111.381134033203,-105.762649536133,-89.8492279052734,-87.1510848999023,719.6781249999999
116,-122.071975708008,-130.640853881836,-111.388488769531,-105.771987915039,-89.855110168457,-87.156379699707,725.9275
117,-122.082473754883,-130.648834228516,-111.396194458008,-105.781692504883,-89.8613586425781,-87.1620178222656,732.176875
118,-122.093383789062,-130.657196044922,-111.404266357422,-105.791763305664,-89.8679733276367,-87.1679992675781,738.42625
119,-122.104705810547,-130.665954589844,-111.412704467773,-105.802207946777,-89.8749389648438,-87.1743392944336,744.675625
