Index,Time (s),Voltage (V)
0,0.029999971389770508,0.0
1,0.06000018119812012,0.0
2,0.08899998664855957,0.0005
3,0.11899995803833008,0.0
4,0.1490001678466797,0.0
5,0.18000006675720215,0.0
6,0.2090001106262207,0.0
7,0.23800015449523926,0.0
8,0.26999998092651367,0.0005
9,0.3000001907348633,0.0
10,0.3300001621246338,0.0
11,0.3619999885559082,0.0
12,0.39100003242492676,0.0
13,0.42100000381469727,-0.0011
14,0.4509999752044678,0.0
15,0.48000001907348633,0.0
16,0.5090000629425049,0.0
17,0.5380001068115234,0.0
18,0.567000150680542,-0.0005
19,0.5959999561309814,-0.0011
20,0.625,-0.0011
21,0.6549999713897705,0.0
22,0.6850001811981201,0.0
23,0.7150001525878906,0.0
24,0.7450001239776611,0.0
25,0.7740001678466797,0.0
26,0.8040001392364502,-0.0005
27,0.8340001106262207,-0.0005
28,0.8640000820159912,0.0
29,0.8930001258850098,0.0
30,0.9220001697540283,-0.0011
31,0.9509999752044678,0.0005
32,0.9800000190734863,0.0
33,1.0090000629425049,0.0
34,1.0390000343322754,0.0
35,1.069000005722046,0.0005
36,1.0989999771118164,0.0
37,1.129000186920166,0.0
38,1.1590001583099365,0.0
39,1.190000057220459,0.0
40,1.2200000286102295,-0.0005
41,1.25,0.0011
42,1.2790000438690186,0.0
43,1.309000015258789,0.0005
44,1.3380000591278076,0.0
45,1.3680000305175781,-0.0011
46,1.3970000743865967,0.0
47,1.4270000457763672,0.0
48,1.4560000896453857,0.0
49,1.4869999885559082,0.0
50,1.5160000324249268,0.0005
51,1.5460000038146973,0.0
52,1.5750000476837158,0.0
53,1.6040000915527344,0.0
54,1.6340000629425049,0.0
55,1.6630001068115234,0.0
56,1.692000150680542,0.0011
57,1.7220001220703125,0.0
58,1.752000093460083,0.0
59,1.7810001373291016,0.0
60,1.812000036239624,0.0
61,1.8410000801086426,-0.0011
62,1.8700001239776611,0.0
63,1.9000000953674316,0.0
64,1.9300000667572021,0.0
65,1.9590001106262207,0.0
66,1.9890000820159912,0.0
67,2.0180001258850098,-0.0011
68,2.0470001697540283,0.0
69,2.077000141143799,0.0
70,2.1070001125335693,0.0005
71,2.13700008392334,0.0
72,2.1670000553131104,0.0
73,2.196000099182129,0.0
74,2.2250001430511475,0.0
75,2.255000114440918,0.0
76,2.2840001583099365,0.0
77,2.314000129699707,0.0
78,2.3440001010894775,0.0
79,2.373000144958496,0.0
80,2.4040000438690186,0.0
81,2.434000015258789,0.0011
82,2.4630000591278076,0.0
83,2.492000102996826,0.0
84,2.5210001468658447,0.0
85,2.5510001182556152,0.0
86,2.580000162124634,0.0
87,2.6089999675750732,-0.0011
88,2.638000011444092,0.0005
89,2.6670000553131104,0.0
